event_type,canonical_regime,canonical_family,default_executable,detector,enabled,tags,instrument_classes,sequence_eligible,subtype,phase,evidence_mode,layer,disposition,asset_scope,venue_scope,research_only,strategy_only,is_composite,is_context_tag,is_strategy_construct,deconflict_priority,reports_dir,events_file,signal_column,templates,horizons,conditioning_cols,max_candidates_per_run,threshold_parameters
CROSS_VENUE_DESYNC,BASIS_FUNDING_DISLOCATION,INFORMATION_DESYNC,True,CrossVenueDesyncDetector,True,desync,crypto|futures,True,cross_venue_desync,persistence,inferred_cross_asset,canonical,merge,single_asset,cross_venue,False,False,False,False,False,0,cross_venue_desync,cross_venue_desync_events.parquet,cross_venue_desync_event,desync_repair|convergence|basis_repair|lead_lag_follow|divergence_continuation,5m|15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,"{""anchor_quantile"": 0.995, ""basis_lookback"": 96, ""cooldown_bars"": 0, ""merge_gap_bars"": 1, ""min_basis_bps"": 35.0, ""min_occurrences"": 0, ""persistence_bars"": 2, ""revert_z"": 0.5, ""window_end"": 32}"
DELEVERAGING_WAVE,POSITIONING_UNWIND_DELEVERAGING,POSITIONING_EXTREMES,True,DeleveragingWaveDetector,True,forced_liquidation|oi_dynamic,crypto|futures,True,deleveraging_wave,unwind,hybrid,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,positioning_extremes,positioning_extremes_events.parquet,deleveraging_wave_event,reversal_or_squeeze|mean_reversion|continuation|exhaustion_reversal|convexity_capture|only_if_funding|only_if_oi|tail_risk_avoid,5m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""cooldown_bars"": 24, ""funding_extreme_quantile"": 0.99, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""oi_change_z_threshold"": 3.0}"
DEPTH_COLLAPSE,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,True,DepthCollapseDetector,True,liquidity_stress,crypto|futures,True,depth_collapse,collapse,direct,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,liquidity_dislocation,liquidity_dislocation_events.parquet,depth_collapse_event,mean_reversion|continuation|stop_run_repair|overshoot_repair|only_if_liquidity|slippage_aware_filter,15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,"{""cooldown_bars"": 12, ""lookback_window"": 288, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""min_volume_quantile"": 0.2, ""z_threshold"": 3.0}"
DEPTH_STRESS_PROXY,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,True,DepthStressProxyDetector,True,,,True,depth_collapse,collapse,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,liquidity_dislocation,liquidity_dislocation_events.parquet,depth_stress_proxy_event,mean_reversion|continuation|stop_run_repair|overshoot_repair|only_if_liquidity|slippage_aware_filter,15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,"{""cooldown_bars"": 96, ""depth_quantile"": 0.93, ""merge_gap_bars"": 0, ""min_history_bars"": 288, ""min_occurrences"": 0, ""rv_quantile"": 0.9, ""spread_quantile"": 0.99, ""window"": 288}"
FAILED_CONTINUATION,TREND_FAILURE_EXHAUSTION,FORCED_FLOW_AND_EXHAUSTION,True,FailedContinuationDetector,True,exhaustion,crypto|futures,True,failed_continuation,failure,hybrid,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,forced_flow_and_exhaustion,forced_flow_and_exhaustion_events.parquet,failed_continuation_event,,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""breakout_strength_min"": 0.003, ""breakout_window"": 48, ""cooldown_bars"": 24, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""reversal_window"": 12}"
FALSE_BREAKOUT,TREND_FAILURE_EXHAUSTION,TREND_STRUCTURE,True,FalseBreakoutDetector,True,trend_momentum|exhaustion,crypto|futures,True,false_breakout,failure,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,trend_structure,trend_structure_events.parquet,false_breakout_event,breakout_followthrough|false_breakout_reversal|pullback_entry|trend_continuation|continuation|only_if_trend,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,450,"{""breakout_z_threshold"": 2.5, ""cooldown_bars"": 12, ""max_range_ratio"": 8.0, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""trend_window"": 288}"
FEE_REGIME_CHANGE_EVENT,EXECUTION_FRICTION,EXECUTION_FRICTION,True,FeeRegimeChangeDetector,True,execution_cost,crypto|futures,True,fee_regime_change,transition,direct,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,execution_friction,execution_friction_events.parquet,fee_regime_change_event,slippage_aware_filter|tail_risk_avoid,5m|15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,300,"{""cooldown_bars"": 12, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""slippage_z_threshold"": 3.0, ""spread_z_threshold"": 3.0}"
FLOW_EXHAUSTION_PROXY,TREND_FAILURE_EXHAUSTION,FORCED_FLOW_AND_EXHAUSTION,True,FlowExhaustionDetector,True,,,True,flow_exhaustion,exhaustion,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,forced_flow_and_exhaustion,forced_flow_and_exhaustion_events.parquet,flow_exhaustion_proxy_event,,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""cooldown_bars"": 12, ""liquidation_abs_min"": 25.0, ""liquidation_multiplier"": 0.9, ""liquidation_quantile"": 0.85, ""lookback_window"": 288, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""min_spacing"": 24, ""oi_drop_abs_min"": 5.0, ""oi_drop_quantile"": 0.8, ""rebound_window"": 6, ""return_abs_min"": 0.0025, ""return_quantile"": 0.75, ""reversal_quantile"": 0.65, ""reversal_window"": 3, ""rv_decay_ratio"": 0.99, ""spread_abs_min"": 5.0, ""spread_quantile"": 0.7, ""threshold_window"": 2880, ""z_threshold"": 3.0}"
FND_DISLOC,BASIS_FUNDING_DISLOCATION,STATISTICAL_DISLOCATION,True,FndDislocDetector,True,basis_dislocation,crypto|futures,True,funding_dislocation,shock,direct,canonical,merge,single_asset,cross_venue,False,False,False,False,False,0,funding_dislocation,funding_dislocation_events.parquet,funding_dislocation_event,mean_reversion|overshoot_repair|tail_risk_avoid,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,"{""alignment_window"": 3, ""cooldown_bars"": 12, ""funding_quantile"": 0.95, ""merge_gap_bars"": 1, ""min_basis_bps"": 5.0, ""min_occurrences"": 0, ""threshold_bps"": 2.0}"
FORCED_FLOW_EXHAUSTION,TREND_FAILURE_EXHAUSTION,FORCED_FLOW_AND_EXHAUSTION,True,ForcedFlowExhaustionDetector,True,exhaustion|forced_liquidation,crypto|futures,True,forced_flow_exhaustion,exhaustion,hybrid,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,directional_exhaustion_after_forced_flow,directional_exhaustion_after_forced_flow_events.parquet,forced_flow_exhaustion_event,,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""anchor_quantile"": 0.99, ""cooldown_bars"": 0, ""liquidation_abs_min"": 25.0, ""liquidation_multiplier"": 0.9, ""liquidation_quantile"": 0.92, ""merge_gap_bars"": 1, ""min_occurrences"": 0, ""min_spacing"": 32, ""oi_drop_abs_min"": 5.0, ""oi_drop_quantile"": 0.88, ""rebound_window"": 6, ""return_abs_min"": 0.0025, ""return_quantile"": 0.8, ""reversal_quantile"": 0.65, ""reversal_window"": 3, ""rv_decay_ratio"": 0.99, ""spread_abs_min"": 5.0, ""spread_quantile"": 0.7, ""threshold_window"": 2880, ""window_end"": 32}"
FUNDING_EXTREME_ONSET,BASIS_FUNDING_DISLOCATION,POSITIONING_EXTREMES,True,FundingExtremeOnsetDetector,True,funding_crowding,crypto|futures,True,funding_extreme,onset,direct,canonical,merge,single_asset,cross_venue,False,False,False,False,False,0,funding_events,funding_episode_events.parquet,funding_extreme_onset_event,reversal_or_squeeze|mean_reversion|continuation|exhaustion_reversal|convexity_capture|only_if_funding|only_if_oi|only_if_regime|only_if_highvol|tail_risk_avoid,5m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""accel_lookback"": 32, ""accel_near_zero_cutoff"": 5, ""accel_quantile"": 0.995, ""cooldown_bars"": 0, ""crossover_confirm_bars"": 4, ""funding_pct_window"": 2880, ""htf_lookback"": 96, ""htf_window"": 384, ""interaction_min_rows_per_year"": 150, ""merge_gap_bars"": 1, ""min_event_spacing"": 96, ""min_hazard_events"": 50, ""min_occurrences"": 0, ""min_prior_extreme_abs"": 0.0004, ""normalization_lookback"": 96, ""persistence_bars"": 3, ""phase_tolerance_bars"": 16, ""post_window"": 96, ""pre_window"": 96, ""vol_burst_quantile"": 0.9}"
FUNDING_FLIP,BASIS_FUNDING_DISLOCATION,POSITIONING_EXTREMES,True,FundingFlipDetector,True,funding_crowding|high_urgency,crypto|futures,True,funding_flip,flip,direct,canonical,merge,single_asset,cross_venue,False,False,False,False,False,0,positioning_extremes,positioning_extremes_events.parquet,funding_flip_event,reversal_or_squeeze|mean_reversion|continuation|exhaustion_reversal|convexity_capture|only_if_funding|only_if_oi|tail_risk_avoid,5m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""cooldown_bars"": 24, ""funding_extreme_quantile"": 0.99, ""merge_gap_bars"": 0, ""min_flip_abs"": 0.00025, ""min_occurrences"": 0, ""min_spacing"": 24, ""oi_change_z_threshold"": 3.0, ""persistence_bars"": 2}"
FUNDING_NORMALIZATION_TRIGGER,BASIS_FUNDING_DISLOCATION,POSITIONING_EXTREMES,True,FundingNormalizationDetector,True,funding_crowding,crypto|futures,True,funding_normalization,normalization,direct,canonical,merge,single_asset,cross_venue,False,False,False,False,False,0,funding_events,funding_episode_events.parquet,funding_normalization_event,reversal_or_squeeze|mean_reversion|continuation|exhaustion_reversal|convexity_capture|only_if_funding|only_if_oi|tail_risk_avoid,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""accel_lookback"": 32, ""accel_near_zero_cutoff"": 5, ""accel_quantile"": 0.995, ""cooldown_bars"": 0, ""crossover_confirm_bars"": 4, ""funding_pct_window"": 2880, ""htf_lookback"": 96, ""htf_window"": 384, ""interaction_min_rows_per_year"": 150, ""merge_gap_bars"": 1, ""min_event_spacing"": 96, ""min_hazard_events"": 50, ""min_occurrences"": 0, ""min_prior_extreme_abs"": 0.0004, ""normalization_lookback"": 96, ""persistence_bars"": 12, ""phase_tolerance_bars"": 16, ""post_window"": 96, ""pre_window"": 96, ""vol_burst_quantile"": 0.9}"
FUNDING_PERSISTENCE_TRIGGER,BASIS_FUNDING_DISLOCATION,POSITIONING_EXTREMES,True,FundingPersistenceDetector,True,funding_crowding,crypto|futures,True,funding_persistence,persistence,direct,canonical,merge,single_asset,cross_venue,False,False,False,False,False,0,funding_events,funding_episode_events.parquet,funding_persistence_event,reversal_or_squeeze|mean_reversion|continuation|exhaustion_reversal|convexity_capture|only_if_funding|only_if_oi|tail_risk_avoid|only_if_regime,5m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""accel_lookback"": 32, ""accel_near_zero_cutoff"": 5, ""accel_quantile"": 0.995, ""cooldown_bars"": 0, ""crossover_confirm_bars"": 4, ""funding_pct_window"": 2880, ""htf_lookback"": 96, ""htf_window"": 384, ""interaction_min_rows_per_year"": 150, ""merge_gap_bars"": 1, ""min_event_spacing"": 576, ""min_hazard_events"": 50, ""min_occurrences"": 0, ""min_prior_extreme_abs"": 0.0004, ""min_spacing"": 576, ""normalization_lookback"": 96, ""persistence_bars"": 12, ""phase_tolerance_bars"": 16, ""post_window"": 96, ""pre_window"": 96, ""vol_burst_quantile"": 0.9}"
FUNDING_TIMESTAMP_EVENT,SCHEDULED_TEMPORAL_WINDOW,TEMPORAL_STRUCTURE,False,FundingTimestampDetector,True,temporal_anchor|funding_crowding,crypto|futures,True,funding_timestamp,window,contextual,context_tag,demote,multi_asset,market_wide,False,False,False,True,False,0,temporal_structure,temporal_structure_events.parquet,funding_timestamp_event,mean_reversion|continuation,5m|15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,300,"{""cooldown_bars"": 12, ""event_spacing_bars"": 288, ""funding_abs_quantile"": 0.0, ""merge_gap_bars"": 0, ""min_occurrences"": 0}"
GAP_OVERSHOOT,STATISTICAL_STRETCH_OVERSHOOT,STATISTICAL_DISLOCATION,True,GapOvershootDetector,True,statistical_stretch,crypto|futures,True,gap_overshoot,overshoot,statistical,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,statistical_dislocation,statistical_dislocation_events.parquet,gap_overshoot_event,mean_reversion|overshoot_repair|tail_risk_avoid,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,"{""band_z_threshold"": 3.0, ""cooldown_bars"": 12, ""lookback_window"": 288, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""return_quantile"": 0.995}"
INDEX_COMPONENT_DIVERGENCE,CROSS_ASSET_DESYNCHRONIZATION,INFORMATION_DESYNC,True,IndexComponentDivergenceDetector,True,desync,crypto|futures,True,index_component_divergence,divergence,inferred_cross_asset,canonical,keep,cross_asset,multi_venue,False,False,False,False,False,0,information_desync,information_desync_events.parquet,index_component_divergence_event,desync_repair|convergence|basis_repair|lead_lag_follow|divergence_continuation,5m|15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""cooldown_bars"": 12, ""desync_z_threshold"": 3.0, ""lead_lag_window"": 60, ""merge_gap_bars"": 0, ""min_occurrences"": 0}"
LEAD_LAG_BREAK,CROSS_ASSET_DESYNCHRONIZATION,INFORMATION_DESYNC,True,LeadLagBreakDetector,True,desync,crypto|futures,True,lead_lag_break,divergence,inferred_cross_asset,canonical,keep,cross_asset,multi_venue,False,False,False,False,False,0,information_desync,information_desync_events.parquet,lead_lag_break_event,desync_repair|convergence|basis_repair|lead_lag_follow|divergence_continuation,5m|15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""cooldown_bars"": 12, ""desync_z_threshold"": 3.0, ""lead_lag_window"": 60, ""merge_gap_bars"": 0, ""min_occurrences"": 0}"
LIQUIDATION_CASCADE,LIQUIDATION_CASCADE,POSITIONING_EXTREMES,True,LiquidationCascadeDetector,True,forced_liquidation|high_urgency,crypto|futures,True,liquidation_cascade,cascade,direct,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,liquidation_cascade,liquidation_cascade_events.parquet,liquidation_cascade_event,reversal_or_squeeze|mean_reversion|continuation|exhaustion_reversal|convexity_capture|only_if_funding|only_if_oi|tail_risk_avoid,5m|15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,1000,"{""cooldown_bars"": 0, ""liq_multiplier"": 3.0, ""max_gap"": 6, ""median_window"": 288, ""merge_gap_bars"": 1, ""min_occurrences"": 0, ""min_periods"": 24}"
LIQUIDATION_CASCADE_PROXY,LIQUIDATION_CASCADE,POSITIONING_EXTREMES,True,LiquidationCascadeProxyDetector,True,oi_dynamic|liquidation_proxy,crypto|futures,True,liquidation_cascade_proxy,onset,proxy,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,liquidation_events,liquidation_cascade_proxy_events.parquet,liquidation_cascade_proxy_event,reversal_or_squeeze|mean_reversion|continuation|exhaustion_reversal|convexity_capture|only_if_funding|only_if_oi|tail_risk_avoid,5m|15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,300,"{""cooldown_bars"": 0, ""max_gap"": 1, ""merge_gap_bars"": 1, ""min_episode_oi_reduction_pct"": 0.0, ""min_occurrences"": 0, ""min_periods"": 24, ""oi_drop_quantile"": 0.997, ""oi_window"": 288, ""ret_window"": 3, ""vol_surge_quantile"": 0.9, ""vol_window"": 288}"
LIQUIDATION_EXHAUSTION_REVERSAL,TREND_FAILURE_EXHAUSTION,FORCED_FLOW_AND_EXHAUSTION,True,PostDeleveragingReboundDetector,True,forced_liquidation,crypto|futures,True,liquidation_exhaustion_reversal,recovery,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,forced_flow_and_exhaustion,forced_flow_and_exhaustion_events.parquet,liquidation_exhaustion_reversal_event,,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,400,"{""cluster_window"": 12, ""cooldown_bars"": 24, ""liq_cooldown_ratio"": 0.55, ""liquidation_abs_min"": 25.0, ""liquidation_cooldown_abs_max"": 100000.0, ""liquidation_multiplier"": 0.9, ""liquidation_quantile"": 0.85, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""oi_drop_abs_min"": 5.0, ""oi_drop_quantile"": 0.8, ""post_cluster_lookback"": 48, ""rebound_quantile"": 0.7, ""rebound_return_min"": 0.001, ""rebound_window"": 6, ""rebound_window_bars"": 12, ""return_abs_min"": 0.0025, ""return_quantile"": 0.75, ""reversal_quantile"": 0.65, ""reversal_window"": 3, ""rv_peak_decay_ratio"": 1.01, ""spread_abs_min"": 5.0, ""spread_quantile"": 0.7, ""threshold_window"": 2880, ""wick_quantile"": 0.7, ""wick_ratio_min"": 0.55}"
LIQUIDITY_GAP_PRINT,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,True,LiquidityGapDetector,True,liquidity_stress,crypto|futures,True,gap_print,shock,direct,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,liquidity_dislocation,liquidity_dislocation_events.parquet,liquidity_gap_print_event,mean_reversion|continuation|stop_run_repair|overshoot_repair|only_if_liquidity|slippage_aware_filter,12b|24b|48b,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,"{""cooldown_bars"": 12, ""lookback_window"": 288, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""min_volume_quantile"": 0.2, ""z_threshold"": 3.0}"
LIQUIDITY_SHOCK,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,True,LiquidityStressDetector,True,liquidity_stress|high_urgency,crypto|futures,True,liquidity_shock,shock,hybrid,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,liquidity_shock,liquidity_shock_events.parquet,liquidity_shock_event,mean_reversion|continuation|stop_run_repair|overshoot_repair|only_if_liquidity|slippage_aware_filter,15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,"{""cooldown_bars"": 0, ""median_window"": 288, ""merge_gap_bars"": 1, ""min_occurrences"": 0}"
LIQUIDITY_STRESS_DIRECT,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,True,DirectLiquidityStressDetector,True,,,True,liquidity_stress,shock,direct,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,liquidity_shock,liquidity_shock_events.parquet,liquidity_stress_direct_event,mean_reversion|continuation|stop_run_repair|overshoot_repair|only_if_liquidity|slippage_aware_filter,15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,"{""cooldown_bars"": 0, ""median_window"": 288, ""merge_gap_bars"": 1, ""min_occurrences"": 0}"
LIQUIDITY_STRESS_PROXY,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,True,ProxyLiquidityStressDetector,True,,,True,liquidity_stress,shock,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,liquidity_shock,liquidity_shock_events.parquet,liquidity_stress_proxy_event,mean_reversion|continuation|stop_run_repair|overshoot_repair|only_if_liquidity|slippage_aware_filter,15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,"{""cooldown_bars"": 0, ""median_window"": 288, ""merge_gap_bars"": 1, ""min_occurrences"": 0}"
